2022-01-04 23:54:17  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:54:36  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:54:40  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1  ACTION: GET
2022-01-04 23:54:44  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:54:45  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:54:45  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-04 23:54:45  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:55:02  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:55:02  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-04 23:55:02  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:59:50  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-04 23:59:50  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-04 23:59:50  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:01:46  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:01:46  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-05 00:01:46  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:05:02  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:05:03  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:05:06  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:05:06  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-05 00:05:06  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:05:56  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:05:56  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-05 00:05:56  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:10:50  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:10:52  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:10:52  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-05 00:10:52  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:12:00  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:12:43  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:13:08  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:13:26  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:13:28  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:13:43  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:13:43  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: change unit fields ['comment']
2022-01-05 00:13:43  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:14:02  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/43  ACTION: GET
2022-01-05 00:16:16  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1  ACTION: GET
2022-01-05 00:16:20  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:16:25  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:16:25  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:16:25  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
